AAM,Conversion
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0225
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.1915
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.6994999999999999
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0605
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0625
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.018
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0105
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.32
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0015
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.5015
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.408
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.042
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.062
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.4285
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0549999999999999
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.1585
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0074
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.558
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.1225
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.137
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.1154999999999999
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.3185
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0026999999999999
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0075
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.567
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.006
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.084
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0295
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.1105
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0905
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0274999999999999
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.0
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.02
[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][O:12][P:13](=[O:14])([OH:15])[OH:16])[O:17]2)[c:18](=[O:19])[n:20]1.[OH2:21]>>[NH2:1][c:2]1[cH:3][cH:4][n:5]([C@H:6]2[CH2:7][C@H:8]([OH:9])[C@@H:10]([CH2:11][OH:12])[O:17]2)[c:18](=[O:19])[n:20]1.[P:13](=[O:14])([OH:15])([OH:16])[OH:21],0.578
