AAM,exp_activation_energy
[O:1]=[N+:2]([C:4]1=[CH:5][N:6]=[C:7]([C:15]([N+:16]([O-:18])=[O:17])=[CH:19]1)[Cl:20])[O-:3].[NH2:8][C:9]1=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]1>>[O:1]=[N+:2]([C:4]1=[CH:5][N:6]=[C:7]([C:15]([N+:16]([O-:18])=[O:17])=[CH:19]1)[NH:8][C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)[O-:3].[ClH:20],19.46
[CH3:8][C:9]([C:11]1=[CH:12][CH:13]=[C:14]([CH:15]=[CH:16]1)[Br:1])=[O:10].[CH2:2]1[CH2:3][CH2:4][NH:5][CH2:6][CH2:7]1>>[CH3:8][C:9]([C:11]1=[CH:12][CH:13]=[C:14]([CH:15]=[CH:16]1)[N:5]2[CH2:4][CH2:3][CH2:2][CH2:7][CH2:6]2)=[O:10].[BrH:1],33.09
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[F:8])[O-:3].[N-:11]=[N+:12]=[N-:13]>>[N-:11]=[N+:12]=[N:13][C:7]1=[CH:6][CH:5]=[C:4]([CH:10]=[CH:9]1)[N+:2]([O-:3])=[O:1].[F-:8],27.5
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[F:8])[O-:3].[N-:11]=[N+:12]=[N-:13]>>[N-:11]=[N+:12]=[N:13][C:7]1=[CH:6][CH:5]=[C:4]([CH:10]=[CH:9]1)[N+:2]([O-:3])=[O:1].[F-:8],21.18
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[F:8])[O-:3].[N-:11]=[N+:12]=[N-:13]>>[N-:11]=[N+:12]=[N:13][C:7]1=[CH:6][CH:5]=[C:4]([CH:10]=[CH:9]1)[N+:2]([O-:3])=[O:1].[F-:8],18.105
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]2=[N:10][O:11][N:12]=[C:13]12)[Cl:8])[O-:3].[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]2=[N:10][O:11][N:12]=[C:13]12)[N:17]3[CH2:16][CH2:15][CH2:14][CH2:18]3)[O-:3].[ClH:8],14.92
[CH3:1][O:2][C:11]1=[C:12]([CH:20]=[C:21]([CH:25]=[C:26]1[S:27](=[O:28])([C:30]([F:32])([F:33])[F:31])=[O:29])[N+:22]([O-:24])=[O:23])[S:13](=[O:14])([C:16]([F:18])([F:19])[F:17])=[O:15].[CH3:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[NH2:8]>>[CH3:3][C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[NH:8][C:11]2=[C:12]([CH:20]=[C:21]([CH:25]=[C:26]2[S:27](=[O:28])([C:30]([F:32])([F:33])[F:31])=[O:29])[N+:22]([O-:24])=[O:23])[S:13](=[O:14])([C:16]([F:18])([F:19])[F:17])=[O:15].[CH3:1][OH:2],20.85
[Cl:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:7]=[CH:8]1)[Cl:1].[CH3:9][O-:10]>>[CH3:9][O:10][C:6]1=[CH:5][CH:4]=[C:3]([CH:8]=[CH:7]1)[Cl:2].[Cl-:1],39.4
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:19][C:20]2=[CH:21][CH:22]=[CH:23][C:24]([N+:25]([O-:27])=[O:26])=[CH:28]2)=[N:18]1.[O-:10][C:11]1=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]1[Cl:17]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]2[Cl:17])=[N:18]1.[O:26]=[N+:25]([C:24]1=[CH:23][CH:22]=[CH:21][C:20]([O-:19])=[CH:28]1)[O-:27],22.14
[CH3:1][O:2][C:3]1=[C:10]([C:11]([CH3:12])=[O:13])[CH:9]=[C:5]([N+:6]([O-:8])=[O:7])[S:4]1.[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1>>[CH3:12][C:11]([C:10]1=[C:3]([N:17]2[CH2:16][CH2:15][CH2:14][CH2:19][CH2:18]2)[S:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9]1)=[O:13].[CH3:1][OH:2],17.41
[O:10]=[N+:11]([C:13]1=[CH:14][CH:15]=[C:16]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[F:9])[O-:12].[NH2:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[Cl:6]>>[O:10]=[N+:11]([C:13]1=[CH:14][CH:15]=[C:16]([C:17]([N+:18]([O-:20])=[O:19])=[CH:21]1)[NH:1][C:2]2=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]2)[Cl:6])[O-:12].[FH:9],23.75
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:15]=[CH:16]1)[Br:14])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:15]=[CH:16]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[BrH:14],26.61
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:15]=[CH:16]1)[Br:14])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:15]=[CH:16]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[BrH:14],26.96
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:15]=[CH:16]1)[Br:14])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:15]=[CH:16]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[BrH:14],25.68
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][CH:8]=[C:9]1[Br:10])[O-:3].[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][CH:8]=[C:9]1[N:14]2[CH2:13][CH2:12][CH2:11][CH2:16][CH2:15]2)[O-:3].[BrH:10],20.88
[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9][CH:10]=[C:11]1[Cl:12].[CH2:16]1[CH2:15][CH2:14][NH:13][CH2:17]1>>[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9][CH:10]=[C:11]1[N:13]2[CH2:14][CH2:15][CH2:16][CH2:17]2.[ClH:12],20.04
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:1])[O-:4].[CH3:14][C:15]([C:17]1=[CH:18][CH:19]=[CH:20][C:21]([S-:22])=[CH:23]1)=[O:16]>>[CH3:14][C:15]([C:17]1=[CH:18][CH:19]=[CH:20][C:21]([S:22][C:8]2=[CH:7][CH:6]=[C:5]([CH:13]=[C:9]2[N+:10]([O-:12])=[O:11])[N+:3]([O-:4])=[O:2])=[CH:23]1)=[O:16].[Cl-:1],20.04
[CH3:1][O:2][C:3]1=[C:10]([C:11]([CH3:12])=[O:13])[CH:9]=[C:5]([N+:6]([O-:8])=[O:7])[S:4]1.[CH2:14]1[CH2:15][O:16][CH2:17][CH2:18][NH:19]1>>[CH3:12][C:11]([C:10]1=[C:3]([N:19]2[CH2:18][CH2:17][O:16][CH2:15][CH2:14]2)[S:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9]1)=[O:13].[CH3:1][OH:2],19.09
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[Cl:24])[O-:3].[NH2:17][C:18]1=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[NH:17][C:18]2=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]2)[O-:3].[ClH:24],20.7
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:14]=[CH:15]1)[I:16])[O-:3].[CH2:11]1[CH2:10][CH2:9][NH:8][CH2:13][CH2:12]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:14]=[CH:15]1)[N:8]2[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13]2)[O-:3].[IH:16],27.32
[F:1][C:2]1=[CH:3][C:4]([F:5])=[C:6]([C:8]([F:9])=[N:10]1)[F:7].[NH3:11]>>[NH2:11][C:4]1=[CH:3][C:2]([F:1])=[N:10][C:8]([F:9])=[C:6]1[F:7].[FH:5],18.06
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17]1)[Cl:11])[O-:3].[NH2:18][C:19]1=[CH:20][CH:21]=[C:22]([CH:24]=[CH:25]1)[Cl:23]>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17]1)[NH:18][C:19]2=[CH:20][CH:21]=[C:22]([CH:24]=[CH:25]2)[Cl:23])[O-:3].[ClH:11],23.41
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([N:17]=[CH:18]1)[Cl:1])[O-:4].[O-:9][C:10]1=[CH:11][CH:12]=[C:13]([CH:15]=[CH:16]1)[Cl:14]>>[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([N:17]=[CH:18]1)[O:9][C:10]2=[CH:11][CH:12]=[C:13]([CH:15]=[CH:16]2)[Cl:14])[O-:4].[Cl-:1],23.55
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[CH3:14][N:15]([CH3:17])[CH3:16]>>[CH3:14][N+:15]([CH3:17])([C:7]1=[CH:6][CH:5]=[C:4]([CH:13]=[C:9]1[N+:10]([O-:12])=[O:11])[N+:2]([O-:3])=[O:1])[CH3:16].[Cl-:8],24.81
[CH3:1][O:2][C:3]1=[C:4]([CH:12]=[C:13]([CH:21]=[C:22]1[S:23](=[O:24])([C:26]([F:28])([F:29])[F:27])=[O:25])[S:14](=[O:15])([C:17]([F:19])([F:20])[F:18])=[O:16])[S:5](=[O:6])([C:8]([F:10])([F:11])[F:9])=[O:7].[CH3:30][C:31]1=[CH:32][CH:33]=[C:34]([CH:36]=[CH:37]1)[NH2:35]>>[CH3:30][C:31]1=[CH:32][CH:33]=[C:34]([CH:36]=[CH:37]1)[NH:35][C:3]2=[C:4]([CH:12]=[C:13]([CH:21]=[C:22]2[S:23](=[O:24])([C:26]([F:28])([F:29])[F:27])=[O:25])[S:14](=[O:15])([C:17]([F:19])([F:20])[F:18])=[O:16])[S:5](=[O:6])([C:8]([F:10])([F:11])[F:9])=[O:7].[CH3:1][OH:2],20.4
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[Cl:17])[O-:3].[CH3:18][C:19]1=[CH:20][CH:21]=[CH:22][C:23]([NH2:24])=[CH:25]1>>[CH3:18][C:19]1=[CH:20][CH:21]=[CH:22][C:23]([NH:24][C:16]2=[C:12]([CH:11]=[C:6]([CH:5]=[C:4]2[N+:2]([O-:3])=[O:1])[C:7]([F:9])([F:10])[F:8])[N+:13]([O-:15])=[O:14])=[CH:25]1.[ClH:17],20.34
[O:10]=[N+:11]([C:13]1=[CH:14][C:15]([C:16]([F:18])([F:19])[F:17])=[CH:20][C:21]([N+:22]([O-:24])=[O:23])=[C:25]1[Cl:1])[O-:12].[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[NH2:7]>>[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[NH:7][C:25]2=[C:21]([CH:20]=[C:15]([CH:14]=[C:13]2[N+:11]([O-:12])=[O:10])[C:16]([F:18])([F:19])[F:17])[N+:22]([O-:24])=[O:23].[ClH:1],19.54
[O:10]=[N+:11]([C:13]1=[CH:14][C:15]([C:16]([F:18])([F:19])[F:17])=[CH:20][C:21]([N+:22]([O-:24])=[O:23])=[C:25]1[Cl:1])[O-:12].[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[NH2:7]>>[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[NH:7][C:25]2=[C:21]([CH:20]=[C:15]([CH:14]=[C:13]2[N+:11]([O-:12])=[O:10])[C:16]([F:18])([F:19])[F:17])[N+:22]([O-:24])=[O:23].[ClH:1],19.79
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][C:8]([NH:9][C:10]2=[N:11][C:12]([Cl:13])=[N:14][C:15]([Cl:16])=[N:17]2)=[CH:18]1)[O-:3].[OH-:19]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][C:8]([NH:9][C:10]2=[N:11][C:12]([OH:19])=[N:14][C:15]([Cl:16])=[N:17]2)=[CH:18]1)[O-:3].[Cl-:13],16.58
[O:10]=[N+:11]([C:13]1=[CH:14][C:15]([C:16]([F:18])([F:19])[F:17])=[CH:20][C:21]([N+:22]([O-:24])=[O:23])=[C:25]1[Cl:26])[O-:12].[NH2:1][CH2:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[Cl:7]>>[O:10]=[N+:11]([C:13]1=[CH:14][C:15]([C:16]([F:18])([F:19])[F:17])=[CH:20][C:21]([N+:22]([O-:24])=[O:23])=[C:25]1[NH:1][CH2:2][C:3]2=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]2)[Cl:7])[O-:12].[ClH:26],19.22
[O:22]=[N+:21]([C:20]1=[CH:19][C:14]([C:15]([F:17])([F:18])[F:16])=[CH:13][C:9]([N+:10]([O-:12])=[O:11])=[C:8]1[Cl:26])[O-:23].[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:24]=[CH:25]1)[CH2:6][NH2:7]>>[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:24]=[CH:25]1)[CH2:6][NH:7][C:8]2=[C:9]([CH:13]=[C:14]([CH:19]=[C:20]2[N+:21]([O-:23])=[O:22])[C:15]([F:17])([F:18])[F:16])[N+:10]([O-:12])=[O:11].[ClH:26],17.5
[O:22]=[N+:21]([C:20]1=[CH:19][C:14]([C:15]([F:17])([F:18])[F:16])=[CH:13][C:9]([N+:10]([O-:12])=[O:11])=[C:8]1[Cl:26])[O-:23].[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:24]=[CH:25]1)[CH2:6][NH2:7]>>[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:24]=[CH:25]1)[CH2:6][NH:7][C:8]2=[C:9]([CH:13]=[C:14]([CH:19]=[C:20]2[N+:21]([O-:23])=[O:22])[C:15]([F:17])([F:18])[F:16])[N+:10]([O-:12])=[O:11].[ClH:26],18.85
[CH3:1][N:2]([C:9]1=[N:10][C:11]([Cl:12])=[N:13][C:14]([Cl:15])=[N:16]1)[C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]2.[O-:17][CH:18]1[CH2:19][O:20][CH:21]2[CH:22]([CH2:24][O:25][CH:26]12)[OH:23]>>[CH3:1][N:2]([C:9]1=[N:10][C:11]([Cl:12])=[N:13][C:14]([O:17][CH:18]2[CH2:19][O:20][CH:21]3[CH:22]([CH2:24][O:25][CH:26]23)[OH:23])=[N:16]1)[C:3]4=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]4.[Cl-:15],14.62
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([CH:18]=[CH:19]2)[N+:15]([O-:17])=[O:16])=[N:20]1.[O-:21][C:22]1=[C:23]([CH:25]=[CH:26][CH:27]=[C:28]1[Cl:29])[Cl:24]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:21][C:22]2=[C:23]([CH:25]=[CH:26][CH:27]=[C:28]2[Cl:29])[Cl:24])=[N:20]1.[O:16]=[N+:15]([C:14]1=[CH:18][CH:19]=[C:11]([CH:12]=[CH:13]1)[O-:10])[O-:17],26.01
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[C:14]([CH:18]=[CH:19]2)[N+:15]([O-:17])=[O:16])=[N:20]1.[CH3:21][C:22]1=[CH:23][CH:24]=[CH:25][C:26]([CH3:27])=[C:28]1[O-:29]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:29][C:28]2=[C:22]([CH:23]=[CH:24][CH:25]=[C:26]2[CH3:27])[CH3:21])=[N:20]1.[O:16]=[N+:15]([C:14]1=[CH:18][CH:19]=[C:11]([CH:12]=[CH:13]1)[O-:10])[O-:17],20.92
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[Cl:25])[O-:3].[NH2:17][C:18]1=[CH:19][CH:20]=[CH:21][C:22]([Cl:23])=[CH:24]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([C:7]([F:9])([F:10])[F:8])=[CH:11][C:12]([N+:13]([O-:15])=[O:14])=[C:16]1[NH:17][C:18]2=[CH:19][CH:20]=[CH:21][C:22]([Cl:23])=[CH:24]2)[O-:3].[ClH:25],22.67
[O:9]=[N+:10]([C:12]1=[CH:13][C:14]([C:15]([F:17])([F:18])[F:16])=[CH:19][C:20]([N+:21]([O-:23])=[O:22])=[C:24]1[Cl:25])[O-:11].[NH2:1][CH2:2][C:3]1=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]1>>[O:9]=[N+:10]([C:12]1=[CH:13][C:14]([C:15]([F:17])([F:18])[F:16])=[CH:19][C:20]([N+:21]([O-:23])=[O:22])=[C:24]1[NH:1][CH2:2][C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]2)[O-:11].[ClH:25],18.96
[CH3:10][O:11][C:12]1=[N:13][C:14]([O:15][CH3:16])=[N:17][C:18]([O:20][C:21]2=[CH:22][CH:23]=[CH:24][C:25]([CH:26]=[O:27])=[CH:28]2)=[N:19]1.[N:1]#[C:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[O-:7]>>[CH3:10][O:11][C:12]1=[N:13][C:14]([O:15][CH3:16])=[N:17][C:18]([O:7][C:6]2=[CH:8][CH:9]=[C:3]([CH:4]=[CH:5]2)[C:2]#[N:1])=[N:19]1.[O:27]=[CH:26][C:25]1=[CH:24][CH:23]=[CH:22][C:21]([O-:20])=[CH:28]1,22.89
[O:13]=[N+:12]([C:11]1=[CH:10][CH:9]=[C:8]([C:16]([N+:17]([O-:19])=[O:18])=[CH:15]1)[Cl:21])[O-:14].[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([S-:7])=[CH:20]1>>[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]([S:7][C:8]2=[CH:9][CH:10]=[C:11]([CH:15]=[C:16]2[N+:17]([O-:19])=[O:18])[N+:12]([O-:14])=[O:13])=[CH:20]1.[Cl-:21],19.42
[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[Cl:21])[O-:11].[F:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[S-:6]>>[O:9]=[N+:10]([C:12]1=[CH:13][CH:14]=[C:15]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[S:6][C:5]2=[CH:4][CH:3]=[C:2]([CH:8]=[CH:7]2)[F:1])[O-:11].[Cl-:21],19.79
[F:5][C:4]1=[C:3]([C:18]([F:19])=[C:17]2[C:15]([F:16])=[C:13]([C:11]([F:12])=[C:9]([C:8]2=[C:6]1[F:7])[F:10])[F:14])[F:20].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[C:4]([C:6]([F:7])=[C:8]2[C:9]([F:10])=[C:11]([C:13]([F:14])=[C:15]([C:17]2=[C:18]1[F:19])[F:16])[F:12])[F:5].[F-:20],21.44
[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[CH:9][CH:10]=[C:11]1[Cl:12].[CH3:13][CH2:14][CH2:15][CH2:16][NH2:17]>>[CH3:13][CH2:14][CH2:15][CH2:16][NH:17][C:11]1=[CH:10][CH:9]=[C:5]([CH:4]=[C:3]1[C:2]#[N:1])[N+:6]([O-:8])=[O:7].[ClH:12],22.93
[F:11][C:3]1=[CH:4][C:5]([F:6])=[N:7][C:8]([F:9])=[N:10]1.[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][C:5]([F:6])=[N:7][C:8]([F:9])=[N:10]1.[F-:11],14.53
[O:14]=[N+:13]([C:12]1=[CH:11][CH:10]=[C:9]([C:17]([N+:18]([O-:20])=[O:19])=[CH:16]1)[Cl:21])[O-:15].[NH2:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[C:7]1[S-:8]>>[NH2:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[C:7]1[S:8][C:9]2=[CH:10][CH:11]=[C:12]([CH:16]=[C:17]2[N+:18]([O-:20])=[O:19])[N+:13]([O-:15])=[O:14].[Cl-:21],19.42
