idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family
11,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],"InChI=1S/C6H10/c1-2-6-3-5(1)4-6/h5-6H,1-4H2/t5-,6+","InChI=1S/C6H10/c1-2-6-4-3-5-6/h6H,2,4-5H2,1H3",81.42548000000001,78.73379,
12,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",58.54008,6.80657,
13,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-5-1-4-2(5)6/h1,3H,(H,4,6)",110.29536999999999,102.41738000000001,
14,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1-2,6H/t2-/m0/s1",58.54715,36.16531,
15,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",48.00114,0.76804,
16,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-1-5-2(4)6/h3H,(H2,4,6)",75.62779,7.87437,
17,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",43.97984,-5.55296,ketoenol
18,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-5-1-2(6)4-1/h1,3H,(H,4,6)/b5-3+/t1-/m1/s1",109.01598999999999,71.18995,
19,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H2N3O/c1-4-2(6)5-3/h1H,(H,5,6)/q-1/p+1",121.78098999999999,117.6565,
20,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",InChI=1S/CH2N2.CHNO/c1-3-2;2-1-3/h1-2H;3H,93.51989,86.2112,
22,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-2(6)5-1-4-5/h1H,(H2,3,6)",85.91394,64.97955999999999,
23,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:2]1([H:8])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:15],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8.H2O/c1-2-4-5-3-1;/h1-2H,3-5H2;1H2",63.20476,8.96873,"1,3_Insertion_ROR"
24,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:5](=[C:6]([H:15])[H:16])([H:13])[H:14].[O:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C3H6O.C2H4/c1-2-3-4;1-2/h2,4H,1,3H2;1-2H2",107.75396,41.1194,
25,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:7][H:12].[O:1]=[C:2]([C:6]([C:5]([C:4](=[C:3]([H:9])[H:10])[H:11])([H:13])[H:14])([H:15])[H:16])[H:8],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c1-2-3-4-5-6;/h2,5H,1,3-4H2;1H",88.47536,34.5595,
26,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:4](=[C:5]([H:13])[H:14])([H:11])[H:12].[O:1]([C:2](=[C:3]([H:9])[H:10])[C:6]([H:8])([H:15])[H:16])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C3H6O.C2H4/c1-3(2)4;1-2/h4H,1H2,2H3;1-2H2",106.66318000000001,30.54774,
27,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C@:2]12([H:8])[C:3]([H:9])([H:10])[C@@:4]1([H:11])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16].[O:1]([H:7])[H:12],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8.H2O/c1-2-5-3-4(1)5;/h4-5H,1-3H2;1H2/t4-,5+;",96.25399999999999,38.33502,
28,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:3](=[C:4]([H:11])[H:12])([H:9])[H:10].[O:1](/[C:2](=[C:6](\[C:5]([H:13])([H:14])[H:15])[H:16])[H:8])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C3H6O.C2H4/c1-2-3-4;1-2/h2-4H,1H3;1-2H2/b3-2-;",108.59933000000001,35.45933,
29,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:10][H:14].[O:1]([C@:2]1([H:8])[C:3]([H:9])=[C:4]([H:11])[C:5]([H:12])([H:13])[C:6]1([H:15])[H:16])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c6-5-3-1-2-4-5;/h1,3,5-6H,2,4H2;1H/t5-;/m1./s1",106.1555,27.696709999999996,
30,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:2]1([C:6]([C:5]([H:8])([H:13])[H:14])([H:15])[H:16])[C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-5(6)3-4-5/h6H,2-4H2,1H3",116.28447,22.09724,
31,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:8][H:15].[O:1]([C:2]1=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c6-5-3-1-2-4-5;/h3,6H,1-2,4H2;1H",119.7306,24.6623,
32,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]=[C:2]([C:6]([C:5]([C:4]([C:3]([H:7])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:8],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",79.0211,4.9259900000000005,
33,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:7][H:9].[O:1]=[C:2]([C:3]1([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:8],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c6-4-5-2-1-3-5;/h4-5H,1-3H2;1H",103.78744,37.898990000000005,
34,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:11][H:13].[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:12])=[C:5]([H:14])[C:6]1([H:15])[H:16])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c6-5-3-1-2-4-5;/h1-2,5-6H,3-4H2;1H",115.98983,27.348390000000002,
35,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:6]([C:5]([C:4]([C:3]([C:2][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-3-4-5-6/h1,6H,2-5H2",115.71548,93.92966,
36,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]1([C:5]([C:6]([H:12])([H:15])[H:16])([H:13])[H:14])[H:11])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-4-3-5(4)6/h4-6H,2-3H2,1H3/t4-,5+/m0/s1",119.42386,25.24129,
37,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16].[O:1]([C:2][H:8])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2",InChI=1S/C4H8.CH2O/c1-2-4-3-1;1-2/h1-4H2;1-2H,137.06258,94.54446,
38,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:4]([C:5]([C:6]([C:2](=[C:3]([H:9])[H:10])[H:8])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-3-4-5-6/h2,6H,1,3-5H2",102.18914000000001,17.67782,
39,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([O:6]/[C:5](=[N:4]\[H:11])[H:12])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C2H5NO.CHN/c1-4-2-3;1-2/h2-3H,1H3;1H/b3-2-;",107.32878999999998,27.66135,
40,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N+:4](=[C-:5][O:6][H:12])[H:11])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2,5-6H,1H3/b4-2+",72.22379000000001,35.16605,
41,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N+:2](=[C-:3][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h3-4H,1H3,(H,5,6)",70.69436,24.29205,
42,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](\[O:6]/[C:5](=[N:4]/[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-5-3-6-2-4/h2-4H,1H3/b4-2+,5-3-",50.38201,18.26868,ketoenol
43,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C-:5]#[O+:6].[C:1]([N:2](/[C:3](=[N:4]/[H:11])[H:10])[H:12])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C2H6N2.CO/c1-4-2-3;1-2/h2H,1H3,(H2,3,4);",43.51054,10.03762,
44,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C2H5NO.CHN/c1-3-2-4;1-2/h2H,1H3,(H,3,4);1H",98.04276,9.92967,
45,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2]1[C@:3]2([H:10])[N:4]([H:11])[C@:5]2([H:12])[O:6]1)([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-5-2-3(4-2)6-5/h2-4H,1H3/t2-,3+/m0/s1",116.69467,88.90586,
46,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C-:1]([N+:2](=[C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])[H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-4H,1H2,(H,5,6)",78.03220999999999,41.98368,
47,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](=[N:2][C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])[H:10])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h3H,1-2H2,(H,5,6)",80.22594000000001,10.83847,
48,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:12])[H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)",44.290009999999995,4.821219999999999,
49,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]=[C:5](/[O:6][H:11])[H:12])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)",45.244890000000005,13.2953,ketoenol
50,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](=[N:2][C@:3]1([H:10])[N:4]([H:11])[C@@:5]1([O:6][H:7])[H:12])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-3(6)5-2/h2-3,5-6H,1H2/t2-,3-/m1/s1",86.12677,38.64314,
51,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C4H7NO/c1-3-5-4-6-2/h1,4H2,2H3",75.54618,28.32436,
52,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][H:12])([H:7])([H:8])[H:9].[C:3](=[C:4]([C:5]#[N:6])[H:13])([H:10])[H:11],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C3H3N.CH4O/c1-2-3-4;1-2/h2H,1H2;2H,1H3",58.856519999999996,14.92414,"1,3_Insertion_ROR"
53,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3]([C:4]([N+:6]#[C-:5])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C4H7NO/c1-5-3-4-6-2/h3-4H2,2H3",59.73369,22.58292,
54,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:7])([H:8])[H:9].[O:2]=[C:3]([H:10])[H:11],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C3H5N.CH2O/c1-3-4-2;1-2/h1H2,2H3;1H2",91.18199,36.43087,
55,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3](=[C:4]([H:12])[H:13])[H:11])([H:7])([H:8])[H:9].[C:5](#[N:6])[H:10],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C3H6O.CHN/c1-3-4-2;1-2/h3H,1H2,2H3;1H",84.3233,24.59664,
56,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C@@:3]1([H:10])[C:4]([H:9])([H:11])[O:5]1)([H:6])([H:7])[H:8],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C3H6O2/c1-4-3-2-5-3/h3H,2H2,1H3/t3-/m1/s1",66.42035,15.84489,
57,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[O+:2][C:3](=[C:4]([O-:5])[H:11])[H:10])([H:6])[H:8].[H:7][H:9],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C3H4O2.H2/c1-5-3-2-4;/h2-3H,1H2;1H",74.59470999999999,68.63977,
58,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3]([O+:5]=[C-:4][H:11])([H:9])[H:10])([H:6])([H:7])[H:8],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C3H6O2/c1-4-3-5-2/h1H,3H2,2H3",100.69991999999999,57.86365,
59,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][O:5][C:4](=[C:3]([H:9])[H:10])[H:11])([H:6])([H:7])[H:8],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C3H6O2/c1-3-5-4-2/h3H,1H2,2H3",87.96627,59.62014,ketoenol
